0.52342,277.91,0.246,-0.018,0.256,-0.0135
0.53718,198.91,0.219,-0.008,0.227,-0.00589
0.56284,222.19,0.255,-0.0155,0.252,-0.0129
0.59212,306.43,0.292,-0.03,0.282,-0.0289
0.62269,236.36,0.283,-0.0257,0.289,-0.0235
0.63052,347.82,0.339,-0.0427,0.334,-0.0363
0.6588,319.7,0.314,-0.0414,0.342,-0.0409
0.69896,280.62,0.353,-0.0467,0.355,-0.0377
0.72323,296.71,0.355,-0.0478,0.378,-0.0429
0.74404,323.84,0.379,-0.0559,0.401,-0.0511
0.76039,252.34,0.362,-0.045,0.374,-0.0388
0.78788,301.26,0.397,-0.0562,0.412,-0.0527
0.82339,192.85,0.379,-0.0442,0.387,-0.0369
0.84023,212.17,0.395,-0.0487,0.4,-0.0447
0.87005,325.16,0.395,-0.0487,0.4,-0.0447
0.88084,230.57,0.443,-0.0539,0.437,-0.0517
0.91773,313,0.465,-0.0784,0.484,-0.0676
0.93817,247.52,0.458,-0.0649,0.454,-0.0602
0.95644,367.1,0.512,-0.0956,0.53,-0.0888
0.99683,204.22,0.461,-0.0614,0.473,-0.0561
1.0238,370.91,0.461,-0.0614,0.473,-0.0561
1.0265,217.32,0.485,-0.0678,0.492,-0.0626
1.0559,255.69,0.485,-0.0678,0.492,-0.0626
1.088,208.17,0.488,-0.0739,0.515,-0.0676
1.1075,229.64,0.518,-0.0814,0.526,-0.0755
1.13,364.19,0.586,-0.122,0.59,-0.111
1.161,289.48,0.557,-0.101,0.565,-0.0948
1.1969,244.46,0.54,-0.0916,0.555,-0.0886
1.2061,184.12,0.505,-0.0732,0.533,-0.0676
1.2265,379.19,0.613,-0.133,0.633,-0.123
1.2649,350.04,0.613,-0.133,0.633,-0.123
1.2965,264.39,0.597,-0.111,0.593,-0.104
1.3198,292.68,0.6,-0.121,0.626,-0.113
1.3449,358.64,0.643,-0.14,0.655,-0.135
1.3536,268.61,0.603,-0.116,0.621,-0.111
1.3984,337.56,0.603,-0.116,0.621,-0.111
1.4091,330.26,0.647,-0.141,0.662,-0.136
1.4313,340.13,0.649,-0.146,0.679,-0.14
1.468,273.83,0.616,-0.13,0.645,-0.124
1.4791,187.57,0.582,-0.0995,0.599,-0.0944
1.0056,375.09,0.508,-0.103,0.537,-0.0971
1.0268,319.37,0.518,-0.094,0.54,-0.0888
1.0698,330.47,0.531,-0.1,0.56,-0.0951
1.094,339.57,0.561,-0.106,0.572,-0.102
1.1009,351.7,0.55,-0.111,0.582,-0.103
1.1489,314.28,0.576,-0.107,0.585,-0.1
1.1524,368.95,0.59,-0.122,0.597,-0.112
1.1829,358.27,0.598,-0.127,0.62,-0.118
1.2185,394.71,0.6,-0.137,0.631,-0.129
1.2327,395.43,0.624,-0.137,0.629,-0.132
1.2565,367.14,0.624,-0.137,0.629,-0.132
1.2857,327.16,0.624,-0.137,0.629,-0.132
1.3056,308,0.617,-0.123,0.632,-0.117
1.329,391.53,0.643,-0.147,0.672,-0.142
1.3737,374.56,0.654,-0.146,0.681,-0.138
1.3911,384.13,0.662,-0.155,0.679,-0.145
1.4239,354.82,0.665,-0.15,0.683,-0.141
1.4323,324.08,0.655,-0.141,0.662,-0.136
1.464,345.84,0.679,-0.15,0.69,-0.143
1.4913,312.15,0.658,-0.141,0.673,-0.139
1.5217,355.81,0.658,-0.141,0.673,-0.139
1.5367,399.64,0.71,-0.174,0.731,-0.165
1.5525,387.55,0.71,-0.174,0.731,-0.165
1.5874,316.41,0.672,-0.155,0.696,-0.149
1.6023,333.71,0.7,-0.16,0.727,-0.155
1.6268,320.37,0.7,-0.16,0.727,-0.155
1.6707,372.13,0.7,-0.16,0.727,-0.155
1.6763,360.66,0.731,-0.174,0.743,-0.171
1.7109,329.3,0.713,-0.17,0.73,-0.163
1.7335,303.75,0.706,-0.161,0.727,-0.157
1.7558,302.17,0.709,-0.165,0.729,-0.156
1.7828,344.21,0.709,-0.165,0.729,-0.156
1.8032,385.4,0.755,-0.193,0.775,-0.185
1.8264,307.41,0.735,-0.171,0.745,-0.162
1.859,379.54,0.76,-0.196,0.784,-0.188
1.8971,335.08,0.757,-0.185,0.779,-0.177
1.9117,340.84,0.741,-0.19,0.774,-0.183
1.9381,381.54,0.788,-0.2,0.8,-0.196
1.962,362.72,0.76,-0.201,0.805,-0.194
1.984,348,0.76,-0.201,0.805,-0.194
0.50543,188.51117,0.214,-0.008,0.209,-0.00674
0.52031,221.8774,0.229,-0.0116,0.231,-0.00856
0.53048,272.2821,0.228,-0.018,0.254,-0.0149
0.54302,185.32319,0.239,-0.0127,0.235,-0.00744
0.55981,326.02771,0.277,-0.0297,0.283,-0.0221
0.57473,202.86707,0.24,-0.0182,0.26,-0.0136
0.58072,268.09677,0.281,-0.025,0.283,-0.0203
0.59274,346.85828,0.303,-0.0326,0.308,-0.029
0.60709,196.06899,0.303,-0.0326,0.308,-0.029
0.6163,339.71926,0.31,-0.0394,0.318,-0.0357
0.62542,263.12421,0.295,-0.0312,0.302,-0.028
0.64206,258.87482,0.297,-0.0326,0.307,-0.0244
0.65113,286.76188,0.323,-0.0371,0.321,-0.0344
0.66409,231.65576,0.3,-0.033,0.307,-0.0276
0.68581,295.2597,0.338,-0.0442,0.342,-0.0365
0.69017,336.56739,0.357,-0.0532,0.359,-0.048
0.70648,324.16465,0.357,-0.0532,0.359,-0.048
0.71785,215.20289,0.341,-0.0319,0.359,-0.0309
0.72629,201.05375,0.338,-0.0318,0.339,-0.0266
0.74074,248.15406,0.364,-0.0436,0.369,-0.0383
0.76125,209.50423,0.364,-0.0436,0.369,-0.0383
0.76519,329.79973,0.403,-0.0597,0.405,-0.0553
